Clean_Title,Title_Counts,Clean_Title_Prompt,is_original,Clean_Title_Char_Len,Content_Type_Prompt,content_type
surviving r kelly the impact,1,Is title 'surviving r kelly the impact' original Netflix content?,Answer No,28,"Is Netflix title 'surviving r kelly the impact' a Series, Movie, or Documentary?",Answer Documentary
tragic jungle  selva trgica,1,Is title 'tragic jungle  selva trgica' original Netflix content?,Answer No,27,"Is Netflix title 'tragic jungle  selva trgica' a Series, Movie, or Documentary?",Answer Movie
underworld rise of the lycans,1,Is title 'underworld rise of the lycans' original Netflix content?,Answer No,29,"Is Netflix title 'underworld rise of the lycans' a Series, Movie, or Documentary?",Answer Movie
scams,1,Is title 'scams' original Netflix content?,Answer No,5,"Is Netflix title 'scams' a Series, Movie, or Documentary?",Answer Series
latte and the magic waterstone,1,Is title 'latte and the magic waterstone' original Netflix content?,Answer No,30,"Is Netflix title 'latte and the magic waterstone' a Series, Movie, or Documentary?",Answer Movie
super monsters save christmas,1,Is title 'super monsters save christmas' original Netflix content?,Answer Yes,29,"Is Netflix title 'super monsters save christmas' a Series, Movie, or Documentary?",Answer Movie
little singham  black shadow,1,Is title 'little singham  black shadow' original Netflix content?,Answer No,28,"Is Netflix title 'little singham  black shadow' a Series, Movie, or Documentary?",Answer Series
sam morril same time tomorrow,1,Is title 'sam morril same time tomorrow' original Netflix content?,Answer No,29,"Is Netflix title 'sam morril same time tomorrow' a Series, Movie, or Documentary?",Answer Stand-up Comedy Special
the takedown  loin du priph,1,Is title 'the takedown  loin du priph' original Netflix content?,Answer: No,27,"Is Netflix title 'the takedown  loin du priph' a Series, Movie, or Documentary?",Answer Movie
iliza shlesinger hot forever,1,Is title 'iliza shlesinger hot forever' original Netflix content?,Answer Yes,28,"Is Netflix title 'iliza shlesinger hot forever' a Series, Movie, or Documentary?",Answer Series
agency,1,Is title 'agency' original Netflix content?,Answer: No,6,"Is Netflix title 'agency' a Series, Movie, or Documentary?","Answer: It could be a Series or Movie, without more specific information."
forbidden dream,1,Is title 'forbidden dream' original Netflix content?,Answer: No,15,"Is Netflix title 'forbidden dream' a Series, Movie, or Documentary?",Answer Movie
five came back limited series,1,Is title 'five came back limited series' original Netflix content?,Answer Yes,29,"Is Netflix title 'five came back limited series' a Series, Movie, or Documentary?",Answer Series
how the grinch stole christmas,1,Is title 'how the grinch stole christmas' original Netflix content?,Answer No,30,"Is Netflix title 'how the grinch stole christmas' a Series, Movie, or Documentary?",Answer Movie
summer strike,1,Is title 'summer strike' original Netflix content?,Answer: No,13,"Is Netflix title 'summer strike' a Series, Movie, or Documentary?","Answer: It could be either a Series or a Movie, without more specific information."
supernatural academy,1,Is title 'supernatural academy' original Netflix content?,Answer No,20,"Is Netflix title 'supernatural academy' a Series, Movie, or Documentary?",Answer Series
fortune feimster good fortune,1,Is title 'fortune feimster good fortune' original Netflix content?,Answer Yes,29,"Is Netflix title 'fortune feimster good fortune' a Series, Movie, or Documentary?",Answer Series
love on the spectrum,1,Is title 'love on the spectrum' original Netflix content?,Answer Yes,20,"Is Netflix title 'love on the spectrum' a Series, Movie, or Documentary?",Answer Series
if anything happens i love you,1,Is title 'if anything happens i love you' original Netflix content?,Answer Yes,30,"Is Netflix title 'if anything happens i love you' a Series, Movie, or Documentary?",Answer Movie
the adversary  ladversaire,1,Is title 'the adversary  ladversaire' original Netflix content?,Answer No,26,"Is Netflix title 'the adversary  ladversaire' a Series, Movie, or Documentary?",Answer Movie
girls und panzer,1,Is title 'girls und panzer' original Netflix content?,Answer No,16,"Is Netflix title 'girls und panzer' a Series, Movie, or Documentary?",Answer Series
cheeky girls  freche mdchen,1,Is title 'cheeky girls  freche mdchen' original Netflix content?,Answer No,27,"Is Netflix title 'cheeky girls  freche mdchen' a Series, Movie, or Documentary?",Answer Series
dushmani a violent love story,1,Is title 'dushmani a violent love story' original Netflix content?,Answer No,29,"Is Netflix title 'dushmani a violent love story' a Series, Movie, or Documentary?",Answer Movie
the last kids on earth book 3,1,Is title 'the last kids on earth book 3' original Netflix content?,Answer Yes,29,"Is Netflix title 'the last kids on earth book 3' a Series, Movie, or Documentary?",Answer Series
rattan,1,Is title 'rattan' original Netflix content?,Answer No,6,"Is Netflix title 'rattan' a Series, Movie, or Documentary?",Answer Series
canine intervention,1,Is title 'canine intervention' original Netflix content?,Answer Yes,19,"Is Netflix title 'canine intervention' a Series, Movie, or Documentary?",Answer Series
newly rich  orang kaya baru,1,Is title 'newly rich  orang kaya baru' original Netflix content?,Answer: No,27,"Is Netflix title 'newly rich  orang kaya baru' a Series, Movie, or Documentary?",Answer Series
sinbad son of a preacher man,1,Is title 'sinbad son of a preacher man' original Netflix content?,Answer No,28,"Is Netflix title 'sinbad son of a preacher man' a Series, Movie, or Documentary?",Answer Series
porn in the hood  les kara,1,Is title 'porn in the hood  les kara' original Netflix content?,Answer No,26,"Is Netflix title 'porn in the hood  les kara' a Series, Movie, or Documentary?",Answer Movie
the romantics limited series,1,Is title 'the romantics limited series' original Netflix content?,Answer: Yes,28,"Is Netflix title 'the romantics limited series' a Series, Movie, or Documentary?",Answer Series
im thinking of ending things,1,Is title 'im thinking of ending things' original Netflix content?,Answer Yes,28,"Is Netflix title 'im thinking of ending things' a Series, Movie, or Documentary?",Answer Movie
celebrity gogglebox,1,Is title 'celebrity gogglebox' original Netflix content?,Answer No,19,"Is Netflix title 'celebrity gogglebox' a Series, Movie, or Documentary?",Answer Series
nice view,1,Is title 'nice view' original Netflix content?,Answer: No,9,"Is Netflix title 'nice view' a Series, Movie, or Documentary?",Answer: It could be any of the three options without more specific information.
escape from mogadishu,1,Is title 'escape from mogadishu' original Netflix content?,Answer No,21,"Is Netflix title 'escape from mogadishu' a Series, Movie, or Documentary?",Answer Movie
tazza the high rollers,1,Is title 'tazza the high rollers' original Netflix content?,Answer No,22,"Is Netflix title 'tazza the high rollers' a Series, Movie, or Documentary?",Answer Movie
the governor 2016,1,Is title 'the governor 2016' original Netflix content?,Answer No,17,"Is Netflix title 'the governor 2016' a Series, Movie, or Documentary?",Answer Series
bibi  tina tohuwabohu total,1,Is title 'bibi  tina tohuwabohu total' original Netflix content?,Answer No,27,"Is Netflix title 'bibi  tina tohuwabohu total' a Series, Movie, or Documentary?",Answer Movie
gantz 2004 the first stage,1,Is title 'gantz 2004 the first stage' original Netflix content?,Answer No,26,"Is Netflix title 'gantz 2004 the first stage' a Series, Movie, or Documentary?",Answer Series
the accident 2019,1,Is title 'the accident 2019' original Netflix content?,Answer No,17,"Is Netflix title 'the accident 2019' a Series, Movie, or Documentary?",Answer Series
worst roommate ever,1,Is title 'worst roommate ever' original Netflix content?,Answer: Yes,19,"Is Netflix title 'worst roommate ever' a Series, Movie, or Documentary?",Answer Series
super monsters save halloween,1,Is title 'super monsters save halloween' original Netflix content?,Answer Yes,29,"Is Netflix title 'super monsters save halloween' a Series, Movie, or Documentary?",Answer Movie
point blank   bout portant,1,Is title 'point blank   bout portant' original Netflix content?,Answer No,26,"Is Netflix title 'point blank   bout portant' a Series, Movie, or Documentary?",Answer Movie
lust stories,1,Is title 'lust stories' original Netflix content?,Answer Yes,12,"Is Netflix title 'lust stories' a Series, Movie, or Documentary?",Answer Movie
seven years of night  7,1,Is title 'seven years of night  7' original Netflix content?,Answer: No,23,"Is Netflix title 'seven years of night  7' a Series, Movie, or Documentary?",Answer Movie
vir das abroad understanding,1,Is title 'vir das abroad understanding' original Netflix content?,Answer Yes,28,"Is Netflix title 'vir das abroad understanding' a Series, Movie, or Documentary?",Answer Stand-up Comedy Special
wheels on meals,1,Is title 'wheels on meals' original Netflix content?,Answer No,15,"Is Netflix title 'wheels on meals' a Series, Movie, or Documentary?",Answer Movie
chris rock selective outrage,1,Is title 'chris rock selective outrage' original Netflix content?,Answer Yes,28,"Is Netflix title 'chris rock selective outrage' a Series, Movie, or Documentary?",Answer Documentary
no longer kids,1,Is title 'no longer kids' original Netflix content?,Answer: No,14,"Is Netflix title 'no longer kids' a Series, Movie, or Documentary?",Answer Series
the 3rd eye 2  mata batin 2,1,Is title 'the 3rd eye 2  mata batin 2' original Netflix content?,Answer No,27,"Is Netflix title 'the 3rd eye 2  mata batin 2' a Series, Movie, or Documentary?",Answer Movie
bento harassment,1,Is title 'bento harassment' original Netflix content?,Answer: No,16,"Is Netflix title 'bento harassment' a Series, Movie, or Documentary?",Answer: It is not a known title on Netflix.
werewolves of the third reich,1,Is title 'werewolves of the third reich' original Netflix content?,Answer No,29,"Is Netflix title 'werewolves of the third reich' a Series, Movie, or Documentary?",Answer Movie
the magic quill  ert brko,1,Is title 'the magic quill  ert brko' original Netflix content?,Answer: No,25,"Is Netflix title 'the magic quill  ert brko' a Series, Movie, or Documentary?",Answer: None of the above.
made in china,1,Is title 'made in china' original Netflix content?,Answer No,13,"Is Netflix title 'made in china' a Series, Movie, or Documentary?","Answer: It could be either a Series or a Movie, without more specific information."
as the gods will,1,Is title 'as the gods will' original Netflix content?,Answer No,16,"Is Netflix title 'as the gods will' a Series, Movie, or Documentary?",Answer Movie
art of the devil ii,1,Is title 'art of the devil ii' original Netflix content?,Answer No,19,"Is Netflix title 'art of the devil ii' a Series, Movie, or Documentary?",Answer Movie
the substitute  el suplente,1,Is title 'the substitute  el suplente' original Netflix content?,Answer No,27,"Is Netflix title 'the substitute  el suplente' a Series, Movie, or Documentary?",Answer Series
the portrait of a lady 1996,1,Is title 'the portrait of a lady 1996' original Netflix content?,Answer No,27,"Is Netflix title 'the portrait of a lady 1996' a Series, Movie, or Documentary?",Answer Movie
disappearance at clifton hill,1,Is title 'disappearance at clifton hill' original Netflix content?,Answer No,29,"Is Netflix title 'disappearance at clifton hill' a Series, Movie, or Documentary?",Answer Movie
what the fish,1,Is title 'what the fish' original Netflix content?,Answer No,13,"Is Netflix title 'what the fish' a Series, Movie, or Documentary?",Answer Movie
living undocumented,1,Is title 'living undocumented' original Netflix content?,Answer Yes,19,"Is Netflix title 'living undocumented' a Series, Movie, or Documentary?",Answer Series
the punishment  la punition,1,Is title 'the punishment  la punition' original Netflix content?,Answer: No,27,"Is Netflix title 'the punishment  la punition' a Series, Movie, or Documentary?",Answer: Movie
les copains dabord,1,Is title 'les copains dabord' original Netflix content?,Answer No,18,"Is Netflix title 'les copains dabord' a Series, Movie, or Documentary?",Answer: Series
the midnight gospel,1,Is title 'the midnight gospel' original Netflix content?,Answer Yes,19,"Is Netflix title 'the midnight gospel' a Series, Movie, or Documentary?",Answer Series
sohni mahiwal,1,Is title 'sohni mahiwal' original Netflix content?,Answer No,13,"Is Netflix title 'sohni mahiwal' a Series, Movie, or Documentary?",Answer Movie
how to make an american quilt,1,Is title 'how to make an american quilt' original Netflix content?,Answer No,29,"Is Netflix title 'how to make an american quilt' a Series, Movie, or Documentary?",Answer Movie
high heels  tacones lejanos,1,Is title 'high heels  tacones lejanos' original Netflix content?,Answer No,27,"Is Netflix title 'high heels  tacones lejanos' a Series, Movie, or Documentary?",Answer Movie
ever after high dragon games,1,Is title 'ever after high dragon games' original Netflix content?,Answer Yes,28,"Is Netflix title 'ever after high dragon games' a Series, Movie, or Documentary?",Answer Movie
life is beautiful,1,Is title 'life is beautiful' original Netflix content?,Answer No,17,"Is Netflix title 'life is beautiful' a Series, Movie, or Documentary?",Answer Movie
seen,1,Is title 'seen' original Netflix content?,Answer: Yes,4,"Is Netflix title 'seen' a Series, Movie, or Documentary?",Answer Series
where got ghost,1,Is title 'where got ghost' original Netflix content?,Answer No,15,"Is Netflix title 'where got ghost' a Series, Movie, or Documentary?",Answer Movie
gods favorite idiot,1,Is title 'gods favorite idiot' original Netflix content?,Answer Yes,19,"Is Netflix title 'gods favorite idiot' a Series, Movie, or Documentary?",Answer Series
