Clean_Title,Title_Counts,Clean_Title_Prompt,is_original,Clean_Title_Char_Len,Content_Type_Prompt,content_type
naruto shippuden,21,Is title 'naruto shippuden' original Netflix content?,Answer No,16,"Is Netflix title 'naruto shippuden' a Series, Movie, or Documentary?",Answer Series
greys anatomy,19,Is title 'greys anatomy' original Netflix content?,Answer No,13,"Is Netflix title 'greys anatomy' a Series, Movie, or Documentary?",Answer Series
gogglebox,16,Is title 'gogglebox' original Netflix content?,Answer No,9,"Is Netflix title 'gogglebox' a Series, Movie, or Documentary?",Answer Series
heartland 2007,16,Is title 'heartland 2007' original Netflix content?,Answer No,14,"Is Netflix title 'heartland 2007' a Series, Movie, or Documentary?",Answer Series
its always sunny in philadelphia,15,Is title 'its always sunny in philadelphia' original Netflix content?,Answer No,32,"Is Netflix title 'its always sunny in philadelphia' a Series, Movie, or Documentary?",Answer Series
supernatural 2005,15,Is title 'supernatural 2005' original Netflix content?,Answer No,17,"Is Netflix title 'supernatural 2005' a Series, Movie, or Documentary?",Answer Series
murdoch mysteries,15,Is title 'murdoch mysteries' original Netflix content?,Answer No,17,"Is Netflix title 'murdoch mysteries' a Series, Movie, or Documentary?",Answer Series
ncis,15,Is title 'ncis' original Netflix content?,Answer No,4,"Is Netflix title 'ncis' a Series, Movie, or Documentary?",Answer Series
archer 2009,13,Is title 'archer 2009' original Netflix content?,Answer No,11,"Is Netflix title 'archer 2009' a Series, Movie, or Documentary?",Answer Series
two and a half men,12,Is title 'two and a half men' original Netflix content?,Answer No,18,"Is Netflix title 'two and a half men' a Series, Movie, or Documentary?",Answer Series
the big bang theory,12,Is title 'the big bang theory' original Netflix content?,Answer No,19,"Is Netflix title 'the big bang theory' a Series, Movie, or Documentary?",Answer Series
trailer park boys,12,Is title 'trailer park boys' original Netflix content?,Answer No,17,"Is Netflix title 'trailer park boys' a Series, Movie, or Documentary?",Answer Series
upinipin,11,Is title 'upinipin' original Netflix content?,Answer No,8,"Is Netflix title 'upinipin' a Series, Movie, or Documentary?",Answer Series
shameless us,11,Is title 'shameless us' original Netflix content?,Answer No,12,"Is Netflix title 'shameless us' a Series, Movie, or Documentary?",Answer Series
the walking dead,11,Is title 'the walking dead' original Netflix content?,Answer No,16,"Is Netflix title 'the walking dead' a Series, Movie, or Documentary?",Answer Series
friends 1994,10,Is title 'friends 1994' original Netflix content?,Answer No,12,"Is Netflix title 'friends 1994' a Series, Movie, or Documentary?",Answer Series
ranczo,10,Is title 'ranczo' original Netflix content?,Answer No,6,"Is Netflix title 'ranczo' a Series, Movie, or Documentary?",Answer Series
the blacklist,10,Is title 'the blacklist' original Netflix content?,Answer No,13,"Is Netflix title 'the blacklist' a Series, Movie, or Documentary?",Answer Series
hubert und staller,10,Is title 'hubert und staller' original Netflix content?,Answer No,18,"Is Netflix title 'hubert und staller' a Series, Movie, or Documentary?",Answer Series
solitary gourmet,10,Is title 'solitary gourmet' original Netflix content?,Answer No,16,"Is Netflix title 'solitary gourmet' a Series, Movie, or Documentary?",Answer Series
fairy tail,10,Is title 'fairy tail' original Netflix content?,Answer No,10,"Is Netflix title 'fairy tail' a Series, Movie, or Documentary?",Answer Series
benidorm 2007,9,Is title 'benidorm 2007' original Netflix content?,Answer No,13,"Is Netflix title 'benidorm 2007' a Series, Movie, or Documentary?",Answer Series
still game,9,Is title 'still game' original Netflix content?,Answer No,10,"Is Netflix title 'still game' a Series, Movie, or Documentary?",Answer Series
the office us,9,Is title 'the office us' original Netflix content?,Answer No,13,"Is Netflix title 'the office us' a Series, Movie, or Documentary?",Answer Series
the flash 2014,9,Is title 'the flash 2014' original Netflix content?,Answer No,14,"Is Netflix title 'the flash 2014' a Series, Movie, or Documentary?",Answer Series
suits 2011,9,Is title 'suits 2011' original Netflix content?,Answer No,10,"Is Netflix title 'suits 2011' a Series, Movie, or Documentary?",Answer Series
naruto,9,Is title 'naruto' original Netflix content?,Answer No,6,"Is Netflix title 'naruto' a Series, Movie, or Documentary?",Answer Series
conni,9,Is title 'conni' original Netflix content?,Answer No,5,"Is Netflix title 'conni' a Series, Movie, or Documentary?",Answer Series
seinfeld,9,Is title 'seinfeld' original Netflix content?,Answer No,8,"Is Netflix title 'seinfeld' a Series, Movie, or Documentary?",Answer Series
spirit riding free,8,Is title 'spirit riding free' original Netflix content?,Answer Yes,18,"Is Netflix title 'spirit riding free' a Series, Movie, or Documentary?",Answer Series
gin tama,8,Is title 'gin tama' original Netflix content?,Answer No,8,"Is Netflix title 'gin tama' a Series, Movie, or Documentary?",Answer Series
girlfriends 2000,8,Is title 'girlfriends 2000' original Netflix content?,Answer No,16,"Is Netflix title 'girlfriends 2000' a Series, Movie, or Documentary?",Answer Series
paw patrol,8,Is title 'paw patrol' original Netflix content?,Answer No,10,"Is Netflix title 'paw patrol' a Series, Movie, or Documentary?",Answer Series
brooklyn ninenine,8,Is title 'brooklyn ninenine' original Netflix content?,Answer No,17,"Is Netflix title 'brooklyn ninenine' a Series, Movie, or Documentary?",Answer Series
slam dunk,8,Is title 'slam dunk' original Netflix content?,Answer No,9,"Is Netflix title 'slam dunk' a Series, Movie, or Documentary?",Answer Series
mom 2013,8,Is title 'mom 2013' original Netflix content?,Answer No,8,"Is Netflix title 'mom 2013' a Series, Movie, or Documentary?",Answer Series
the vampire diaries,8,Is title 'the vampire diaries' original Netflix content?,Answer No,19,"Is Netflix title 'the vampire diaries' a Series, Movie, or Documentary?",Answer Series
voltron legendary defender,8,Is title 'voltron legendary defender' original Netflix content?,Answer Yes,26,"Is Netflix title 'voltron legendary defender' a Series, Movie, or Documentary?",Answer Series
full house 1987,8,Is title 'full house 1987' original Netflix content?,Answer No,15,"Is Netflix title 'full house 1987' a Series, Movie, or Documentary?",Answer Series
cocomelon,8,Is title 'cocomelon' original Netflix content?,Answer No,9,"Is Netflix title 'cocomelon' a Series, Movie, or Documentary?",Answer Series
chhota bheem,8,Is title 'chhota bheem' original Netflix content?,Answer No,12,"Is Netflix title 'chhota bheem' a Series, Movie, or Documentary?",Answer Series
wentworth,8,Is title 'wentworth' original Netflix content?,Answer No,9,"Is Netflix title 'wentworth' a Series, Movie, or Documentary?",Answer Series
trolls the beat goes on,8,Is title 'trolls the beat goes on' original Netflix content?,Answer No,23,"Is Netflix title 'trolls the beat goes on' a Series, Movie, or Documentary?",Answer Series
arrow,8,Is title 'arrow' original Netflix content?,Answer No,5,"Is Netflix title 'arrow' a Series, Movie, or Documentary?",Answer Series
homeland,8,Is title 'homeland' original Netflix content?,Answer No,8,"Is Netflix title 'homeland' a Series, Movie, or Documentary?",Answer Series
one piece whole cake island,8,Is title 'one piece whole cake island' original Netflix content?,Answer No,27,"Is Netflix title 'one piece whole cake island' a Series, Movie, or Documentary?",Answer Series
gilmore girls,7,Is title 'gilmore girls' original Netflix content?,Answer No,13,"Is Netflix title 'gilmore girls' a Series, Movie, or Documentary?",Answer Series
grace and frankie,7,Is title 'grace and frankie' original Netflix content?,Answer Yes,17,"Is Netflix title 'grace and frankie' a Series, Movie, or Documentary?",Answer Series
heartbreak high 1994,7,Is title 'heartbreak high 1994' original Netflix content?,Answer No,20,"Is Netflix title 'heartbreak high 1994' a Series, Movie, or Documentary?",Answer Series
star trek the next generation,7,Is title 'star trek the next generation' original Netflix content?,Answer No,29,"Is Netflix title 'star trek the next generation' a Series, Movie, or Documentary?",Answer Series
