api_data_id,Clean_Title,Title_Counts,Clean_Title_Prompt,is_original,Clean_Title_Char_Len,Content_Type_Prompt,content_type
api-0-No-Series,naruto shippuden,21,Is title 'naruto shippuden' original Netflix content?,No,16,"Is Netflix title 'naruto shippuden' a Series, Movie, or Documentary?",Series
api-1-No-Series,greys anatomy,19,Is title 'greys anatomy' original Netflix content?,No,13,"Is Netflix title 'greys anatomy' a Series, Movie, or Documentary?",Series
api-2-No-Series,gogglebox,16,Is title 'gogglebox' original Netflix content?,No,9,"Is Netflix title 'gogglebox' a Series, Movie, or Documentary?",Series
api-3-No-Series,heartland 2007,16,Is title 'heartland 2007' original Netflix content?,No,14,"Is Netflix title 'heartland 2007' a Series, Movie, or Documentary?",Series
api-4-No-Series,its always sunny in philadelphia,15,Is title 'its always sunny in philadelphia' original Netflix content?,No,32,"Is Netflix title 'its always sunny in philadelphia' a Series, Movie, or Documentary?",Series
api-5-No-Series,supernatural 2005,15,Is title 'supernatural 2005' original Netflix content?,No,17,"Is Netflix title 'supernatural 2005' a Series, Movie, or Documentary?",Series
api-6-No-Series,murdoch mysteries,15,Is title 'murdoch mysteries' original Netflix content?,No,17,"Is Netflix title 'murdoch mysteries' a Series, Movie, or Documentary?",Series
api-7-No-Series,ncis,15,Is title 'ncis' original Netflix content?,No,4,"Is Netflix title 'ncis' a Series, Movie, or Documentary?",Series
api-8-No-Series,archer 2009,13,Is title 'archer 2009' original Netflix content?,No,11,"Is Netflix title 'archer 2009' a Series, Movie, or Documentary?",Series
api-9-No-Series,two and a half men,12,Is title 'two and a half men' original Netflix content?,No,18,"Is Netflix title 'two and a half men' a Series, Movie, or Documentary?",Series
api-10-No-Series,the big bang theory,12,Is title 'the big bang theory' original Netflix content?,No,19,"Is Netflix title 'the big bang theory' a Series, Movie, or Documentary?",Series
api-11-No-Series,trailer park boys,12,Is title 'trailer park boys' original Netflix content?,No,17,"Is Netflix title 'trailer park boys' a Series, Movie, or Documentary?",Series
api-12-No-Series,upinipin,11,Is title 'upinipin' original Netflix content?,No,8,"Is Netflix title 'upinipin' a Series, Movie, or Documentary?",Series
