Clean_Title,Title_Counts,Clean_Title_Char_Len,is_original_Prompt,Content_Type_Prompt
naruto shippuden,21,16,Is title 'naruto shippuden' original Netflix content?,"Is Netflix title 'naruto shippuden' a Series, Movie, or Documentary?"
greys anatomy,19,13,Is title 'greys anatomy' original Netflix content?,"Is Netflix title 'greys anatomy' a Series, Movie, or Documentary?"
heartland 2007,16,14,Is title 'heartland 2007' original Netflix content?,"Is Netflix title 'heartland 2007' a Series, Movie, or Documentary?"
gogglebox,16,9,Is title 'gogglebox' original Netflix content?,"Is Netflix title 'gogglebox' a Series, Movie, or Documentary?"
ncis,15,4,Is title 'ncis' original Netflix content?,"Is Netflix title 'ncis' a Series, Movie, or Documentary?"
murdoch mysteries,15,17,Is title 'murdoch mysteries' original Netflix content?,"Is Netflix title 'murdoch mysteries' a Series, Movie, or Documentary?"
supernatural 2005,15,17,Is title 'supernatural 2005' original Netflix content?,"Is Netflix title 'supernatural 2005' a Series, Movie, or Documentary?"
its always sunny in philadelphia,15,32,Is title 'its always sunny in philadelphia' original Netflix content?,"Is Netflix title 'its always sunny in philadelphia' a Series, Movie, or Documentary?"
archer 2009,13,11,Is title 'archer 2009' original Netflix content?,"Is Netflix title 'archer 2009' a Series, Movie, or Documentary?"
two and a half men,12,18,Is title 'two and a half men' original Netflix content?,"Is Netflix title 'two and a half men' a Series, Movie, or Documentary?"
the big bang theory,12,19,Is title 'the big bang theory' original Netflix content?,"Is Netflix title 'the big bang theory' a Series, Movie, or Documentary?"
trailer park boys,12,17,Is title 'trailer park boys' original Netflix content?,"Is Netflix title 'trailer park boys' a Series, Movie, or Documentary?"
upinipin,11,8,Is title 'upinipin' original Netflix content?,"Is Netflix title 'upinipin' a Series, Movie, or Documentary?"
shameless us,11,12,Is title 'shameless us' original Netflix content?,"Is Netflix title 'shameless us' a Series, Movie, or Documentary?"
the walking dead,11,16,Is title 'the walking dead' original Netflix content?,"Is Netflix title 'the walking dead' a Series, Movie, or Documentary?"
hubert und staller,10,18,Is title 'hubert und staller' original Netflix content?,"Is Netflix title 'hubert und staller' a Series, Movie, or Documentary?"
ranczo,10,6,Is title 'ranczo' original Netflix content?,"Is Netflix title 'ranczo' a Series, Movie, or Documentary?"
friends 1994,10,12,Is title 'friends 1994' original Netflix content?,"Is Netflix title 'friends 1994' a Series, Movie, or Documentary?"
solitary gourmet,10,16,Is title 'solitary gourmet' original Netflix content?,"Is Netflix title 'solitary gourmet' a Series, Movie, or Documentary?"
the blacklist,10,13,Is title 'the blacklist' original Netflix content?,"Is Netflix title 'the blacklist' a Series, Movie, or Documentary?"
fairy tail,10,10,Is title 'fairy tail' original Netflix content?,"Is Netflix title 'fairy tail' a Series, Movie, or Documentary?"
naruto,9,6,Is title 'naruto' original Netflix content?,"Is Netflix title 'naruto' a Series, Movie, or Documentary?"
benidorm 2007,9,13,Is title 'benidorm 2007' original Netflix content?,"Is Netflix title 'benidorm 2007' a Series, Movie, or Documentary?"
conni,9,5,Is title 'conni' original Netflix content?,"Is Netflix title 'conni' a Series, Movie, or Documentary?"
still game,9,10,Is title 'still game' original Netflix content?,"Is Netflix title 'still game' a Series, Movie, or Documentary?"
seinfeld,9,8,Is title 'seinfeld' original Netflix content?,"Is Netflix title 'seinfeld' a Series, Movie, or Documentary?"
